"id","country"
1,"Afghanistan"
2,"AkrotiriandDhekelia"
3,"Åland"
4,"Albania"
5,"Algeria"
6,"Andorra"
7,"Angola"
8,"Anguilla"
9,"Antigua and Barbuda"
10,"Argentina"
11,"Armenia"
12,"Australia"
13,"Austria"
14,"Azerbaijan"
15,"Bahamas"
16,"Bangladesh"
17,"Barbados"
18,"Belarus"
19,"Belgium"
20,"Belize"
21,"Benin"
22,"Bhutan"
23,"Bolivia"
24,"Bonaire, Sint Eustatius and Saba"
25,"Bosnia and Herzegovina"
26,"Botswana"
27,"Brazil"
28,"British Virgin Islands"
29,"Brunei"
30,"Bulgaria"
31,"Burkina Faso"
32,"Burundi"
33,"CaboVerde"
34,"Cambodia"
35,"Cameroon"
36,"Canada"
37,"CaymanIslands"
38,"Central African Republic"
39,"Chad"
40,"Chile"
41,"China"
42,"Colombia"
43,"Comoros"
44,"Costa Rica"
45,"Côte d'Ivoire"
46,"Croatia"
47,"Cuba"
48,"Curaçao"
49,"Cyprus"
50,"Czechia"
51,"Democratic Republic of the Congo"
52,"Denmark"
53,"Dominica"
54,"Dominican Republic"
55,"Ecuador"
56,"Egypt"
57,"El Salvador"
58,"Equatorial Guinea"
59,"Eritrea"
60,"Estonia"
61,"Ethiopia"
62,"Fiji"
63,"Finland"
64,"France"
65,"French Guiana"
66,"Gabon"
67,"Gambia"
68,"Georgia"
69,"Germany"
70,"Ghana"
71,"Greece"
72,"Grenada"
73,"Guadeloupe"
74,"Guatemala"
75,"Guernsey"
76,"Guinea"
77,"Guinea-Bissau"
78,"Guyana"
79,"Haiti"
80,"Honduras"
81,"Hungary"
82,"India"
83,"Indonesia"
84,"Iran"
85,"Iraq"
86,"Ireland"
87,"IsleofMan"
88,"Israel"
89,"Italy"
90,"Jamaica"
91,"Japan"
92,"Jersey"
93,"Jordan"
94,"Kazakhstan"
95,"Kenya"
96,"Kosovo"
97,"Kyrgyzstan"
98,"Laos"
99,"Latvia"
100,"Lebanon"
101,"Lesotho"
102,"Liberia"
103,"Libya"
104,"Liechtenstein"
105,"Lithuania"
106,"Luxembourg"
107,"Madagascar"
108,"Malawi"
109,"Malaysia"
110,"Maldives"
111,"Mali"
112,"Malta"
113,"Martinique"
114,"Mauritania"
115,"Mauritius"
116,"Mayotte"
117,"México"
118,"Moldova"
119,"Mongolia"
120,"Montenegro"
121,"Montserrat"
122,"Morocco"
123,"Mozambique"
124,"Myanmar"
125,"Namibia"
126,"Nepal"
127,"Netherlands"
128,"New Caledonia"
129,"New Zealand"
130,"Nicaragua"
131,"Niger"
132,"Nigeria"
133,"North Korea"
134,"North Macedonia"
135,"NorthernCyprus"
136,"Norway"
137,"Pakistan"
138,"Palau"
139,"Palestine"
140,"Panama"
141,"Papua New Guinea"
142,"Paraguay"
143,"Peru"
144,"Philippines"
145,"Poland"
146,"Portugal"
147,"Puerto Rico"
148,"Republic of the Congo"
149,"Réunion"
150,"Romania"
151,"Russia"
152,"Rwanda"
153,"Saint Kitts and Nevis"
154,"Saint Lucia"
155,"Saint Vincent and the Grenadines"
156,"Saint-Martin"
157,"SaintPierreandMiquelon"
158,"San Marino"
159,"São Tomé and Príncipe"
160,"Senegal"
161,"Serbia"
162,"Sierra Leone"
163,"Singapore"
164,"Sint Maarten"
165,"Slovakia"
166,"Slovenia"
167,"Solomon Islands"
168,"Somalia"
169,"South Africa"
170,"South Korea"
171,"South Sudan"
172,"Spain"
173,"Sri Lanka"
174,"Sudan"
175,"Suriname"
176,"Swaziland"
177,"Sweden"
178,"Switzerland"
179,"Syria"
180,"Taiwan"
181,"Tajikistan"
182,"Tanzania"
183,"Thailand"
184,"Timor-Leste"
185,"Togo"
186,"Trinidad and Tobago"
187,"Tunisia"
188,"Turkey"
189,"Turkmenistan"
190,"Turks and Caicos Islands"
191,"Uganda"
192,"Ukraine"
193,"United Kingdom"
194,"United States"
195,"UnitedStatesMinorOutlyingIsl"
196,"Uruguay"
197,"Uzbekistan"
198,"Vanuatu"
199,"Venezuela"
200,"Vietnam"
201,"Virgin Islands, U.S."
202,"Zambia"
203,"Zimbabwe"
